    529.77      240.73        0.67       33.65        0.05        0.04     1363.62
   1150.30      294.00        0.67       32.27        0.02        0.02     2960.87
   2099.72      350.71        0.72       33.93        0.01        0.01     5404.69
    200.12      509.80        1.24       22.23        0.16        0.13      515.10
   1819.50      608.19        0.79       29.90        0.01        0.01     4683.39
    180.90      767.22        0.79       13.19        0.07        0.06      465.63
     49.22      784.60        1.28       24.03        0.62        0.48      126.69
     76.29      910.19        0.96       13.22        0.20        0.18      196.38
    123.21      933.28        0.79       11.90        0.09        0.08      317.15
    500.40     1119.21        0.94       18.69        0.04        0.03     1288.04
    215.76     1236.94        1.07       15.21        0.08        0.07      555.38
    142.34     1376.38        0.98       10.56        0.09        0.07      366.39
   1623.73     1459.67        1.09       27.06        0.02        0.02     4179.49
     77.79     1508.15        1.12        9.12        0.13        0.18      200.24
     41.34     1660.41        1.36        7.21        0.27        0.33      106.42
    132.03     1728.49        1.19       11.07        0.11        0.10      339.84
    541.20     1763.33        1.12       18.91        0.04        0.04     1393.05
    107.17     1846.29        1.35       14.63        0.21        0.15      275.86
     35.42     2101.97        1.75        6.06        0.33        0.29       91.17
     45.62     2117.13        1.06        5.69        0.14        0.16      117.43
    187.90     2202.75        1.35       10.72        0.09        0.07      483.65
     48.67     2446.52        1.35        5.48        0.17        0.15      125.28
    410.25     2613.27        1.52       14.15        0.06        0.05     1055.98
