   1048.15      242.80        1.65       95.20        0.00        0.11     2694.25
   1166.99      294.99        0.68       32.25        0.02        0.02     2999.71
   2105.86      351.79        0.73       33.87        0.01        0.01     5413.07
    199.53      511.11        1.24       23.18        0.16        0.14      512.89
   1833.50      609.61        0.80       29.94        0.01        0.01     4712.98
    185.66      768.83        0.81       15.35        0.08        0.06      477.24
     47.54      786.27        1.25       21.21        0.00        0.44      122.20
     71.55      912.04        0.92       13.32        0.22        0.18      183.92
    122.69      935.14        0.79       12.52        0.09        0.08      315.38
    496.70     1121.33        0.93       17.72        0.04        0.03     1276.77
    220.55     1239.25        1.10       17.99        0.09        0.08      566.91
    142.85     1378.86        0.99       11.15        0.09        0.07      367.20
   1655.49     1462.25        1.11       26.79        0.02        0.02     4255.42
     68.96     1510.72        0.97        8.71        0.12        0.16      177.27
     41.59     1663.93        1.92        1.50        0.00        2.51      106.91
    135.49     1731.36        1.20       11.09        0.11        0.09      348.27
    553.36     1766.31        1.14       15.86        0.04        0.03     1422.39
     99.45     1849.52        1.26        7.95        0.11        0.09      255.64
     31.96     2105.25        1.63        6.89        0.39        0.30       82.16
     43.81     2120.64        1.01        5.23        0.13        0.14      112.62
    180.74     2206.44        1.30        9.26        0.07        0.06      464.60
     49.89     2450.45        1.38        5.72        0.18        0.15      128.25
    404.79     2617.46        1.51       14.83        0.06        0.05     1040.50
